customer_id,city,signup_date,age,channel
C00001,Delhi,2022-07-02,44,instagram
C00002,Ahmedabad,2023-07-02,45,instagram
C00003,Indore,2022-02-06,36,website
C00004,Hyderabad,2022-01-14,25,website
C00005,Mumbai,2023-09-27,38,website
C00006,Mumbai,2023-08-18,52,instagram
C00007,Mumbai,2022-06-08,31,website
C00008,Kolkata,2023-05-09,48,distributor
C00009,Hyderabad,2022-11-25,27,referral
C00010,Chennai,2023-09-06,27,distributor
C00011,Mumbai,2022-03-24,36,referral
C00012,Ahmedabad,2023-07-10,25,instagram
C00013,Pune,2023-08-03,28,referral
C00014,Delhi,2023-07-14,47,referral
C00015,Mumbai,2023-07-23,52,website
C00016,Mumbai,2023-08-10,23,website
C00017,Delhi,2022-01-22,49,website
C00018,Hyderabad,2022-05-12,34,instagram
C00019,Bangalore,2023-04-10,39,instagram
C00020,Delhi,2023-04-01,51,referral
C00021,Hyderabad,2022-10-29,32,distributor
C00022,Mumbai,2022-09-24,34,instagram
C00023,Delhi,2024-03-09,45,modern_trade
C00024,Delhi,2023-01-30,50,referral
C00025,Bangalore,2022-04-30,26,instagram
C00026,Pune,2022-09-03,40,instagram
C00027,Mumbai,2023-07-22,34,instagram
C00028,Bangalore,2022-02-07,26,distributor
C00029,Hyderabad,2022-09-02,35,website
C00030,Mumbai,2022-01-21,43,distributor
C00031,Hyderabad,2022-04-20,30,modern_trade
C00032,Mumbai,2023-08-29,47,website
C00033,Mumbai,2023-01-29,26,website
C00034,Jaipur,2023-02-14,50,website
C00035,Ahmedabad,2023-10-10,43,website
C00036,Pune,2024-01-13,24,instagram
C00037,Delhi,2022-01-08,49,referral
C00038,Mumbai,2023-03-20,35,website
C00039,Chennai,2022-11-24,35,instagram
C00040,Bangalore,2022-10-17,32,referral
C00041,Mumbai,2024-02-02,30,modern_trade
C00042,Bangalore,2023-05-26,27,referral
C00043,Mumbai,2022-12-27,22,website
C00044,Jaipur,2023-08-22,46,instagram
C00045,Delhi,2023-12-17,37,modern_trade
C00046,Chennai,2022-08-07,36,referral
C00047,Delhi,2023-02-10,38,distributor
C00048,Hyderabad,2024-01-23,24,distributor
C00049,Hyderabad,2024-02-09,24,distributor
C00050,Mumbai,2023-09-13,38,instagram
C00051,Ahmedabad,2024-02-07,22,referral
C00052,Indore,2024-03-04,28,distributor
C00053,Jaipur,2022-08-08,47,modern_trade
C00054,Kolkata,2023-08-18,40,distributor
C00055,Hyderabad,2022-04-17,51,website
C00056,Jaipur,2023-08-04,35,referral
C00057,Mumbai,2023-09-01,34,instagram
C00058,Mumbai,2023-12-25,41,modern_trade
C00059,Mumbai,2022-10-13,47,website
C00060,Delhi,2024-01-19,48,instagram
C00061,Bangalore,2022-01-08,46,instagram
C00062,Delhi,2024-03-16,30,website
C00063,Pune,2022-07-08,33,website
C00064,Delhi,2022-03-22,31,instagram
C00065,Delhi,2022-04-18,27,instagram
C00066,Hyderabad,2022-11-17,40,instagram
C00067,Mumbai,2023-08-02,27,instagram
C00068,Pune,2023-11-17,23,distributor
C00069,Mumbai,2022-12-12,36,website
C00070,Ahmedabad,2022-11-24,38,website
C00071,Indore,2023-07-09,37,modern_trade
C00072,Mumbai,2023-11-30,49,referral
C00073,Mumbai,2022-10-29,42,modern_trade
C00074,Pune,2022-07-19,29,distributor
C00075,Chennai,2023-02-23,31,website
C00076,Indore,2022-02-08,31,referral
C00077,Indore,2024-01-02,31,website
C00078,Mumbai,2022-11-03,30,distributor
C00079,Delhi,2022-01-04,49,instagram
C00080,Mumbai,2023-09-25,45,instagram
C00081,Kolkata,2022-03-18,40,distributor
C00082,Chennai,2023-04-13,54,distributor
C00083,Delhi,2022-06-28,25,referral
C00084,Mumbai,2023-10-07,24,referral
C00085,Delhi,2024-01-11,33,instagram
C00086,Delhi,2022-10-03,39,referral
C00087,Indore,2022-06-01,44,distributor
C00088,Chennai,2022-06-13,41,instagram
C00089,Kolkata,2022-10-17,27,referral
C00090,Bangalore,2023-01-13,23,distributor
C00091,Mumbai,2023-09-13,51,referral
C00092,Indore,2023-09-30,30,modern_trade
C00093,Indore,2024-01-22,48,referral
C00094,Hyderabad,2022-11-06,45,modern_trade
C00095,Indore,2023-01-24,38,distributor
C00096,Bangalore,2023-10-20,50,referral
C00097,Hyderabad,2024-02-03,33,modern_trade
C00098,Bangalore,2022-07-02,52,distributor
C00099,Mumbai,2024-03-31,30,distributor
C00100,Mumbai,2022-11-02,40,referral
C00101,Mumbai,2022-03-13,38,referral
C00102,Chennai,2022-08-07,23,referral
C00103,Delhi,2023-12-20,26,referral
C00104,Bangalore,2022-06-22,37,referral
C00105,Jaipur,2023-10-15,38,instagram
C00106,Delhi,2022-09-29,48,website
C00107,Bangalore,2023-12-27,28,website
C00108,Indore,2023-04-13,29,modern_trade
C00109,Delhi,2022-09-26,29,modern_trade
C00110,Mumbai,2022-01-20,44,referral
C00111,Delhi,2023-08-01,53,website
C00112,Mumbai,2024-03-25,39,modern_trade
C00113,Jaipur,2023-05-18,33,instagram
C00114,Pune,2022-05-27,36,instagram
C00115,Chennai,2023-03-05,49,modern_trade
C00116,Kolkata,2022-06-14,52,instagram
C00117,Pune,2022-11-06,30,modern_trade
C00118,Mumbai,2023-06-02,29,distributor
C00119,Kolkata,2022-01-14,40,referral
C00120,Hyderabad,2022-05-12,29,modern_trade
C00121,Pune,2024-01-25,25,referral
C00122,Kolkata,2023-03-15,52,modern_trade
C00123,Delhi,2024-01-13,24,modern_trade
C00124,Mumbai,2024-01-10,40,instagram
C00125,Delhi,2023-11-05,50,website
C00126,Bangalore,2024-03-05,31,website
C00127,Pune,2022-09-20,33,instagram
C00128,Kolkata,2023-10-05,51,distributor
C00129,Mumbai,2022-08-13,51,referral
C00130,Bangalore,2022-09-15,39,website
C00131,Bangalore,2022-08-22,45,instagram
C00132,Delhi,2022-12-02,53,website
C00133,Mumbai,2023-02-13,30,modern_trade
C00134,Delhi,2022-01-24,45,website
C00135,Jaipur,2022-09-28,47,modern_trade
C00136,Delhi,2022-04-05,24,website
C00137,Bangalore,2022-05-22,44,instagram
C00138,Chennai,2023-11-25,32,referral
C00139,Delhi,2023-12-19,31,instagram
C00140,Ahmedabad,2022-03-22,34,instagram
C00141,Ahmedabad,2022-10-01,50,instagram
C00142,Delhi,2022-10-03,34,distributor
C00143,Bangalore,2023-04-10,47,distributor
C00144,Delhi,2022-07-27,41,instagram
C00145,Delhi,2022-10-23,26,referral
C00146,Mumbai,2022-02-08,41,instagram
C00147,Hyderabad,2022-10-15,35,modern_trade
C00148,Bangalore,2022-05-04,35,referral
C00149,Mumbai,2022-10-10,29,website
C00150,Delhi,2022-06-29,34,website
C00151,Jaipur,2022-04-07,45,website
C00152,Delhi,2022-07-10,36,referral
C00153,Mumbai,2022-03-15,22,instagram
C00154,Bangalore,2023-03-23,43,instagram
C00155,Ahmedabad,2024-02-24,24,referral
C00156,Delhi,2023-05-12,47,distributor
C00157,Chennai,2023-07-15,35,referral
C00158,Indore,2023-04-29,29,instagram
C00159,Delhi,2023-12-23,37,distributor
C00160,Indore,2022-04-26,42,instagram
C00161,Delhi,2023-06-19,31,instagram
C00162,Chennai,2022-04-08,46,modern_trade
C00163,Chennai,2022-11-24,43,website
C00164,Hyderabad,2023-02-11,25,referral
C00165,Mumbai,2022-11-09,25,modern_trade
C00166,Pune,2023-12-03,51,website
C00167,Delhi,2023-11-25,23,instagram
C00168,Mumbai,2022-05-28,50,website
C00169,Mumbai,2022-12-08,42,website
C00170,Hyderabad,2023-05-10,42,distributor
C00171,Chennai,2022-01-23,42,distributor
C00172,Mumbai,2022-04-15,25,referral
C00173,Bangalore,2023-11-06,22,website
C00174,Delhi,2023-08-02,47,instagram
C00175,Chennai,2024-03-12,23,instagram
C00176,Mumbai,2024-03-11,30,referral
C00177,Chennai,2023-07-12,39,website
C00178,Bangalore,2023-08-16,32,website
C00179,Jaipur,2023-10-21,46,referral
C00180,Mumbai,2022-08-10,47,modern_trade
C00181,Delhi,2022-01-15,24,modern_trade
C00182,Mumbai,2023-09-25,43,website
C00183,Jaipur,2022-03-19,29,instagram
C00184,Kolkata,2022-11-18,36,modern_trade
C00185,Delhi,2024-03-17,28,distributor
C00186,Chennai,2022-08-29,40,instagram
C00187,Pune,2022-01-18,38,referral
C00188,Hyderabad,2024-02-07,22,distributor
C00189,Hyderabad,2023-03-30,50,website
C00190,Delhi,2023-03-19,34,website
C00191,Mumbai,2022-10-04,50,instagram
C00192,Kolkata,2023-02-28,27,website
C00193,Jaipur,2023-04-21,26,referral
C00194,Chennai,2022-01-27,32,instagram
C00195,Delhi,2023-05-29,30,referral
C00196,Delhi,2023-04-09,30,instagram
C00197,Indore,2024-03-17,29,website
C00198,Kolkata,2022-12-29,24,distributor
C00199,Kolkata,2023-01-18,34,referral
C00200,Indore,2024-01-21,40,website
C00201,Chennai,2023-06-09,53,referral
C00202,Mumbai,2023-01-17,37,instagram
C00203,Mumbai,2022-07-03,39,distributor
C00204,Kolkata,2022-07-13,35,instagram
C00205,Hyderabad,2023-04-07,51,instagram
C00206,Mumbai,2022-02-25,23,referral
C00207,Mumbai,2022-08-18,34,website
C00208,Chennai,2023-05-04,48,referral
C00209,Mumbai,2022-01-28,38,instagram
C00210,Mumbai,2023-08-06,52,modern_trade
C00211,Hyderabad,2023-12-23,36,referral
C00212,Chennai,2022-07-03,41,instagram
C00213,Chennai,2023-03-01,26,referral
C00214,Delhi,2023-01-10,28,instagram
C00215,Indore,2022-02-10,39,website
C00216,Delhi,2023-04-29,32,website
C00217,Delhi,2022-09-17,53,modern_trade
C00218,Indore,2023-03-17,48,instagram
C00219,Chennai,2022-03-25,47,instagram
C00220,Kolkata,2022-02-15,49,instagram
C00221,Chennai,2023-03-16,23,instagram
C00222,Hyderabad,2023-11-02,41,instagram
C00223,Mumbai,2023-06-03,25,referral
C00224,Delhi,2023-03-14,34,instagram
C00225,Delhi,2022-05-16,45,website
C00226,Delhi,2022-07-02,50,referral
C00227,Ahmedabad,2023-12-10,23,instagram
C00228,Bangalore,2022-06-21,39,referral
C00229,Kolkata,2024-02-27,29,instagram
C00230,Chennai,2023-08-13,36,website
C00231,Pune,2023-11-21,38,referral
C00232,Bangalore,2023-06-23,44,instagram
C00233,Hyderabad,2022-04-30,23,referral
C00234,Bangalore,2022-10-08,27,instagram
C00235,Mumbai,2022-11-04,50,modern_trade
C00236,Indore,2023-12-09,48,distributor
C00237,Delhi,2022-10-04,39,instagram
C00238,Mumbai,2023-06-14,31,website
C00239,Chennai,2022-10-22,38,instagram
C00240,Mumbai,2024-02-22,34,instagram
C00241,Jaipur,2022-02-22,48,instagram
C00242,Ahmedabad,2024-03-16,23,modern_trade
C00243,Jaipur,2023-03-08,52,referral
C00244,Delhi,2022-02-21,44,distributor
C00245,Mumbai,2023-12-29,28,referral
C00246,Jaipur,2022-03-13,54,instagram
C00247,Bangalore,2022-01-28,33,modern_trade
C00248,Ahmedabad,2023-04-14,33,distributor
C00249,Ahmedabad,2024-02-03,40,modern_trade
C00250,Kolkata,2023-07-01,30,website
C00251,Delhi,2023-02-05,31,referral
C00252,Bangalore,2022-07-20,38,instagram
C00253,Kolkata,2024-01-31,31,instagram
C00254,Delhi,2023-09-03,33,referral
C00255,Mumbai,2024-03-30,36,distributor
C00256,Hyderabad,2023-04-11,52,website
C00257,Jaipur,2023-10-14,36,modern_trade
C00258,Chennai,2023-08-18,49,instagram
C00259,Hyderabad,2023-07-14,25,website
C00260,Mumbai,2024-02-29,22,modern_trade
C00261,Hyderabad,2023-01-14,38,referral
C00262,Ahmedabad,2024-01-30,54,referral
C00263,Mumbai,2022-06-26,42,website
C00264,Bangalore,2022-02-21,47,website
C00265,Kolkata,2022-03-20,26,distributor
C00266,Indore,2023-01-20,54,referral
C00267,Chennai,2023-07-30,22,instagram
C00268,Chennai,2022-01-08,27,referral
C00269,Delhi,2022-08-02,23,instagram
C00270,Delhi,2022-01-25,26,website
C00271,Pune,2023-03-26,47,instagram
C00272,Pune,2024-02-07,34,distributor
C00273,Kolkata,2024-01-25,33,modern_trade
C00274,Jaipur,2023-04-02,26,instagram
C00275,Bangalore,2023-04-06,23,instagram
C00276,Bangalore,2022-07-17,25,website
C00277,Pune,2022-04-04,48,modern_trade
C00278,Chennai,2023-12-20,31,instagram
C00279,Chennai,2023-03-13,34,instagram
C00280,Pune,2023-06-11,23,website
C00281,Kolkata,2023-11-21,47,website
C00282,Delhi,2023-01-13,36,instagram
C00283,Delhi,2023-08-10,31,website
C00284,Mumbai,2022-04-14,43,distributor
C00285,Hyderabad,2024-03-16,46,instagram
C00286,Mumbai,2023-11-11,36,website
C00287,Bangalore,2023-09-19,34,instagram
C00288,Hyderabad,2022-02-08,29,instagram
C00289,Delhi,2023-04-03,42,instagram
C00290,Hyderabad,2022-12-30,42,referral
C00291,Mumbai,2024-02-24,43,modern_trade
C00292,Mumbai,2022-05-15,54,website
C00293,Pune,2023-01-09,48,instagram
C00294,Delhi,2022-08-20,43,instagram
C00295,Mumbai,2022-02-08,51,website
C00296,Hyderabad,2024-03-13,30,instagram
C00297,Indore,2024-03-29,39,referral
C00298,Delhi,2022-02-16,26,website
C00299,Chennai,2022-02-05,48,distributor
C00300,Mumbai,2022-04-05,27,instagram
C00301,Mumbai,2022-12-27,53,website
C00302,Hyderabad,2023-06-09,29,instagram
C00303,Hyderabad,2022-05-26,42,website
C00304,Chennai,2023-01-03,39,website
C00305,Indore,2022-03-06,35,modern_trade
C00306,Ahmedabad,2022-08-16,36,website
C00307,Bangalore,2024-01-24,47,referral
C00308,Delhi,2023-06-04,53,instagram
C00309,Pune,2024-03-26,49,instagram
C00310,Delhi,2023-07-09,53,website
C00311,Bangalore,2024-01-26,34,modern_trade
C00312,Mumbai,2022-06-30,36,website
C00313,Mumbai,2023-05-16,39,website
C00314,Ahmedabad,2023-08-20,27,instagram
C00315,Pune,2022-06-04,32,referral
C00316,Chennai,2024-02-26,53,referral
C00317,Bangalore,2023-06-19,41,instagram
C00318,Mumbai,2023-09-19,54,referral
C00319,Mumbai,2024-03-28,29,modern_trade
C00320,Delhi,2023-03-11,26,referral
C00321,Hyderabad,2024-03-21,35,website
C00322,Indore,2022-04-09,42,modern_trade
C00323,Chennai,2023-09-08,45,referral
C00324,Delhi,2023-01-07,38,modern_trade
C00325,Ahmedabad,2023-07-17,39,referral
C00326,Indore,2022-12-28,33,instagram
C00327,Hyderabad,2022-04-22,37,instagram
C00328,Hyderabad,2023-03-29,25,instagram
C00329,Bangalore,2024-01-26,46,website
C00330,Delhi,2022-06-18,49,modern_trade
C00331,Delhi,2023-08-07,32,instagram
C00332,Indore,2022-05-19,34,instagram
C00333,Mumbai,2022-08-19,52,referral
C00334,Mumbai,2022-08-27,46,website
C00335,Mumbai,2022-09-10,31,referral
C00336,Mumbai,2023-03-12,45,website
C00337,Kolkata,2023-07-15,22,website
C00338,Chennai,2023-02-26,46,referral
C00339,Bangalore,2022-10-30,49,distributor
C00340,Mumbai,2022-03-13,39,instagram
C00341,Bangalore,2022-09-20,27,distributor
C00342,Bangalore,2022-08-10,23,instagram
C00343,Mumbai,2022-03-18,24,instagram
C00344,Bangalore,2022-03-03,29,modern_trade
C00345,Bangalore,2023-04-16,52,website
C00346,Hyderabad,2022-06-06,40,modern_trade
C00347,Chennai,2024-03-16,27,referral
C00348,Mumbai,2022-05-05,35,distributor
C00349,Delhi,2024-01-11,24,instagram
C00350,Chennai,2022-06-10,22,instagram
C00351,Bangalore,2023-06-25,51,referral
C00352,Kolkata,2023-09-18,40,modern_trade
C00353,Chennai,2023-08-14,40,website
C00354,Mumbai,2023-06-19,30,referral
C00355,Mumbai,2022-04-16,28,instagram
C00356,Chennai,2022-05-11,28,instagram
C00357,Mumbai,2022-12-23,30,referral
C00358,Hyderabad,2023-11-16,25,referral
C00359,Jaipur,2024-02-15,46,website
C00360,Hyderabad,2024-03-07,33,website
C00361,Bangalore,2022-01-02,27,distributor
C00362,Chennai,2022-08-21,39,instagram
C00363,Bangalore,2023-01-04,42,referral
C00364,Hyderabad,2022-09-08,36,referral
C00365,Jaipur,2022-04-18,24,website
C00366,Bangalore,2022-10-03,23,referral
C00367,Ahmedabad,2022-06-29,25,distributor
C00368,Jaipur,2023-12-26,53,website
C00369,Mumbai,2022-10-20,23,instagram
C00370,Mumbai,2023-08-07,50,instagram
C00371,Mumbai,2024-03-05,23,modern_trade
C00372,Mumbai,2022-06-24,48,website
C00373,Mumbai,2022-05-03,39,instagram
C00374,Chennai,2022-08-15,40,instagram
C00375,Mumbai,2023-03-20,48,website
C00376,Delhi,2024-03-23,41,website
C00377,Kolkata,2023-03-04,42,instagram
C00378,Mumbai,2022-03-24,44,referral
C00379,Pune,2024-02-04,51,referral
C00380,Delhi,2023-10-20,46,distributor
C00381,Mumbai,2023-09-24,52,instagram
C00382,Chennai,2022-03-06,48,website
C00383,Chennai,2022-10-08,29,website
C00384,Kolkata,2024-03-05,40,instagram
C00385,Indore,2023-01-26,47,website
C00386,Pune,2023-03-04,49,instagram
C00387,Delhi,2023-09-10,25,website
C00388,Mumbai,2024-03-22,52,website
C00389,Indore,2022-04-17,37,instagram
C00390,Pune,2023-07-02,31,instagram
C00391,Ahmedabad,2023-10-21,31,modern_trade
C00392,Bangalore,2022-09-19,30,instagram
C00393,Delhi,2022-06-08,40,referral
C00394,Indore,2022-09-22,40,referral
C00395,Delhi,2023-04-13,33,distributor
C00396,Jaipur,2022-07-21,34,website
C00397,Kolkata,2022-06-04,46,website
C00398,Bangalore,2022-01-13,46,instagram
C00399,Indore,2022-10-24,49,instagram
C00400,Indore,2023-05-13,51,instagram
C00401,Mumbai,2023-08-20,26,referral
C00402,Jaipur,2024-03-02,38,website
C00403,Bangalore,2022-09-02,39,website
C00404,Pune,2022-10-27,42,referral
C00405,Delhi,2022-12-28,43,website
C00406,Kolkata,2022-12-20,27,instagram
C00407,Bangalore,2023-06-05,37,instagram
C00408,Mumbai,2023-01-21,23,modern_trade
C00409,Jaipur,2024-01-29,22,website
C00410,Mumbai,2022-11-08,51,website
C00411,Delhi,2023-02-18,44,referral
C00412,Ahmedabad,2022-10-05,22,referral
C00413,Ahmedabad,2024-01-20,40,instagram
C00414,Hyderabad,2023-12-16,24,modern_trade
C00415,Chennai,2024-01-29,23,website
C00416,Bangalore,2024-01-17,38,instagram
C00417,Delhi,2023-08-16,49,modern_trade
C00418,Delhi,2022-12-22,39,referral
C00419,Chennai,2023-06-09,54,modern_trade
C00420,Indore,2022-01-16,36,instagram
C00421,Pune,2022-02-14,43,instagram
C00422,Pune,2022-11-17,48,instagram
C00423,Mumbai,2023-10-13,53,instagram
C00424,Bangalore,2022-11-22,40,modern_trade
C00425,Mumbai,2022-05-28,49,website
C00426,Hyderabad,2022-12-21,49,website
C00427,Bangalore,2022-08-24,31,modern_trade
C00428,Kolkata,2023-12-04,41,instagram
C00429,Delhi,2023-09-05,46,distributor
C00430,Mumbai,2022-04-15,42,distributor
C00431,Mumbai,2023-04-19,35,referral
C00432,Indore,2024-02-01,43,instagram
C00433,Hyderabad,2023-01-31,47,website
C00434,Mumbai,2023-03-22,32,referral
C00435,Mumbai,2023-08-29,28,modern_trade
C00436,Chennai,2022-08-08,38,instagram
C00437,Mumbai,2024-03-20,39,website
C00438,Pune,2023-03-18,28,website
C00439,Chennai,2023-10-07,41,instagram
C00440,Mumbai,2023-10-29,32,referral
C00441,Mumbai,2022-01-28,37,instagram
C00442,Ahmedabad,2024-03-04,48,referral
C00443,Delhi,2023-04-20,32,modern_trade
C00444,Delhi,2023-09-20,37,instagram
C00445,Pune,2022-11-01,44,modern_trade
C00446,Jaipur,2024-01-16,33,instagram
C00447,Ahmedabad,2023-02-09,24,website
C00448,Indore,2023-05-28,23,distributor
C00449,Delhi,2023-05-17,45,referral
C00450,Mumbai,2022-12-14,50,distributor
C00451,Indore,2022-08-28,41,website
C00452,Hyderabad,2023-07-24,39,referral
C00453,Bangalore,2023-11-26,35,modern_trade
C00454,Jaipur,2022-12-03,39,instagram
C00455,Mumbai,2022-01-26,23,instagram
C00456,Bangalore,2023-02-13,22,website
C00457,Mumbai,2022-03-18,41,modern_trade
C00458,Bangalore,2022-08-05,32,modern_trade
C00459,Mumbai,2022-11-24,48,instagram
C00460,Mumbai,2024-02-13,44,distributor
C00461,Mumbai,2022-01-23,24,website
C00462,Chennai,2024-01-26,33,distributor
C00463,Indore,2023-11-01,51,referral
C00464,Hyderabad,2023-12-19,52,website
C00465,Ahmedabad,2022-11-06,44,modern_trade
C00466,Delhi,2023-08-22,22,referral
C00467,Delhi,2022-09-24,41,distributor
C00468,Kolkata,2023-02-19,27,instagram
C00469,Delhi,2023-10-08,32,referral
C00470,Ahmedabad,2022-09-24,25,distributor
C00471,Mumbai,2022-11-29,50,distributor
C00472,Ahmedabad,2024-02-19,31,instagram
C00473,Mumbai,2023-03-26,50,instagram
C00474,Kolkata,2023-07-19,22,modern_trade
C00475,Hyderabad,2023-09-03,29,distributor
C00476,Ahmedabad,2022-09-04,38,website
C00477,Mumbai,2022-02-05,40,website
C00478,Hyderabad,2023-02-05,54,modern_trade
C00479,Ahmedabad,2022-01-28,36,instagram
C00480,Hyderabad,2022-08-08,52,distributor
C00481,Chennai,2023-02-10,42,referral
C00482,Chennai,2023-09-06,24,website
C00483,Bangalore,2024-02-14,23,referral
C00484,Chennai,2022-09-28,37,referral
C00485,Hyderabad,2024-01-06,42,website
C00486,Jaipur,2023-10-13,33,distributor
C00487,Mumbai,2024-03-02,49,website
C00488,Delhi,2023-05-26,33,modern_trade
C00489,Ahmedabad,2022-10-13,54,instagram
C00490,Kolkata,2023-03-30,41,modern_trade
C00491,Bangalore,2024-02-01,42,instagram
C00492,Chennai,2022-11-13,43,instagram
