order_id,product_id,quantity,price,line_total
O0000001,P015,1,79,79
O0000001,P001,3,89,267
O0000002,P015,1,79,79
O0000002,P014,3,129,387
O0000003,P003,1,99,99
O0000003,P010,1,99,99
O0000003,P006,2,349,698
O0000003,P008,1,99,99
O0000004,P002,3,159,477
O0000005,P019,2,169,338
O0000005,P013,1,139,139
O0000006,P001,2,89,178
O0000006,P008,1,99,99
O0000006,P009,1,79,79
O0000006,P021,2,149,298
O0000006,P008,1,99,99
O0000007,P023,1,159,159
O0000007,P016,1,89,89
O0000008,P008,1,99,99
O0000008,P002,2,159,318
O0000009,P009,1,79,79
O0000010,P003,1,99,99
O0000010,P006,1,349,349
O0000011,P007,2,129,258
O0000012,P001,2,89,178
O0000012,P010,1,99,99
O0000012,P004,1,99,99
O0000012,P001,3,89,267
O0000013,P004,1,99,99
O0000014,P008,1,99,99
O0000015,P007,1,129,129
O0000015,P022,2,149,298
O0000015,P019,1,169,169
O0000015,P021,2,149,298
O0000015,P001,1,89,89
O0000016,P013,1,139,139
O0000016,P022,1,149,149
O0000016,P013,1,139,139
O0000016,P007,3,129,387
O0000016,P014,2,129,258
O0000017,P014,3,129,387
O0000018,P002,2,159,318
O0000018,P004,1,99,99
O0000019,P008,1,99,99
O0000019,P009,1,79,79
O0000019,P019,1,169,169
O0000020,P005,1,119,119
O0000020,P007,1,129,129
O0000020,P022,1,149,149
O0000020,P015,1,79,79
O0000020,P003,1,99,99
O0000021,P003,1,99,99
O0000022,P019,2,169,338
O0000023,P013,1,139,139
O0000024,P008,2,99,198
O0000025,P021,2,149,298
O0000025,P008,3,99,297
O0000026,P008,2,99,198
O0000026,P002,1,159,159
O0000026,P006,3,349,1047
O0000027,P012,1,109,109
O0000027,P004,2,99,198
O0000027,P019,1,169,169
O0000028,P015,2,79,158
O0000028,P007,2,129,258
O0000028,P003,1,99,99
O0000029,P005,1,119,119
O0000029,P015,3,79,237
O0000029,P008,2,99,198
O0000030,P020,1,179,179
O0000030,P008,1,99,99
O0000031,P005,1,119,119
O0000031,P008,1,99,99
O0000032,P010,1,99,99
O0000032,P002,1,159,159
O0000032,P007,2,129,258
O0000032,P006,1,349,349
O0000033,P009,2,79,158
O0000033,P016,1,89,89
O0000033,P016,1,89,89
O0000034,P007,1,129,129
O0000035,P002,1,159,159
O0000035,P012,2,109,218
O0000036,P008,3,99,297
O0000036,P009,2,79,158
O0000036,P009,1,79,79
O0000037,P022,1,149,149
O0000037,P013,2,139,278
O0000038,P020,2,179,358
O0000038,P006,2,349,698
O0000039,P013,1,139,139
O0000039,P006,2,349,698
O0000039,P023,1,159,159
O0000039,P013,1,139,139
O0000040,P011,1,89,89
O0000040,P020,3,179,537
O0000041,P015,1,79,79
O0000042,P017,1,149,149
O0000042,P017,1,149,149
O0000043,P021,2,149,298
O0000043,P005,1,119,119
O0000043,P008,1,99,99
O0000043,P018,1,159,159
O0000044,P015,1,79,79
O0000045,P006,2,349,698
O0000045,P008,3,99,297
O0000046,P003,2,99,198
O0000046,P022,1,149,149
O0000047,P010,1,99,99
O0000048,P021,2,149,298
O0000048,P021,1,149,149
O0000049,P005,1,119,119
O0000049,P004,1,99,99
O0000049,P014,2,129,258
O0000050,P004,2,99,198
O0000050,P007,1,129,129
O0000050,P003,3,99,297
O0000050,P008,1,99,99
O0000051,P023,1,159,159
O0000051,P009,2,79,158
O0000052,P013,3,139,417
O0000052,P021,2,149,298
O0000053,P021,2,149,298
O0000054,P002,3,159,477
O0000054,P019,1,169,169
O0000055,P012,1,109,109
O0000056,P001,1,89,89
O0000056,P001,1,89,89
O0000056,P001,1,89,89
O0000057,P002,2,159,318
O0000058,P006,2,349,698
O0000059,P004,1,99,99
O0000060,P003,1,99,99
O0000060,P004,1,99,99
O0000060,P007,1,129,129
O0000061,P019,1,169,169
O0000062,P011,1,89,89
O0000063,P008,1,99,99
O0000063,P003,1,99,99
O0000064,P015,1,79,79
O0000064,P007,2,129,258
O0000064,P008,1,99,99
O0000065,P003,1,99,99
O0000066,P009,1,79,79
O0000066,P009,1,79,79
O0000066,P010,1,99,99
O0000067,P017,2,149,298
O0000068,P001,1,89,89
O0000068,P006,2,349,698
O0000068,P011,2,89,178
O0000068,P015,1,79,79
O0000069,P008,2,99,198
O0000069,P007,1,129,129
O0000070,P007,2,129,258
O0000070,P010,1,99,99
O0000071,P004,1,99,99
O0000071,P010,1,99,99
O0000071,P009,1,79,79
O0000072,P001,2,89,178
O0000072,P004,2,99,198
O0000072,P005,1,119,119
O0000073,P017,1,149,149
O0000073,P002,1,159,159
O0000074,P009,3,79,237
O0000075,P006,1,349,349
O0000076,P012,1,109,109
O0000076,P011,1,89,89
O0000076,P013,1,139,139
O0000077,P004,2,99,198
O0000078,P007,1,129,129
O0000078,P023,1,159,159
O0000079,P004,1,99,99
O0000079,P015,1,79,79
O0000079,P008,1,99,99
O0000080,P007,1,129,129
O0000081,P007,1,129,129
O0000081,P009,1,79,79
O0000082,P019,1,169,169
O0000082,P006,1,349,349
O0000083,P007,1,129,129
O0000083,P015,1,79,79
O0000084,P007,1,129,129
O0000084,P019,1,169,169
O0000085,P006,1,349,349
O0000086,P019,2,169,338
O0000087,P012,1,109,109
O0000088,P014,2,129,258
O0000088,P005,1,119,119
O0000088,P006,2,349,698
O0000088,P002,1,159,159
O0000088,P001,2,89,178
O0000089,P005,3,119,357
O0000089,P004,3,99,297
O0000089,P004,3,99,297
O0000090,P004,2,99,198
O0000090,P007,1,129,129
O0000091,P010,1,99,99
O0000091,P005,1,119,119
O0000092,P001,3,89,267
O0000092,P017,1,149,149
O0000093,P015,1,79,79
O0000093,P006,3,349,1047
O0000093,P007,1,129,129
O0000093,P016,2,89,178
O0000094,P004,1,99,99
O0000094,P008,1,99,99
O0000095,P017,1,149,149
O0000095,P011,2,89,178
O0000096,P021,2,149,298
O0000096,P007,1,129,129
O0000096,P010,1,99,99
O0000096,P009,1,79,79
O0000097,P007,2,129,258
O0000098,P013,1,139,139
O0000099,P004,2,99,198
O0000099,P016,1,89,89
O0000100,P001,1,89,89
O0000100,P015,1,79,79
O0000101,P009,3,79,237
O0000101,P001,2,89,178
O0000102,P001,2,89,178
O0000102,P007,2,129,258
O0000102,P008,2,99,198
O0000102,P008,2,99,198
O0000103,P016,1,89,89
O0000103,P009,1,79,79
O0000103,P005,1,119,119
O0000104,P012,3,109,327
O0000104,P004,2,99,198
O0000104,P002,1,159,159
O0000104,P006,1,349,349
O0000105,P012,1,109,109
O0000105,P008,1,99,99
O0000105,P009,1,79,79
O0000106,P002,1,159,159
O0000106,P003,1,99,99
O0000106,P008,1,99,99
O0000106,P020,1,179,179
O0000106,P002,1,159,159
O0000107,P002,2,159,318
O0000108,P014,3,129,387
O0000108,P001,1,89,89
O0000108,P018,3,159,477
O0000109,P024,2,139,278
O0000109,P009,2,79,158
O0000109,P005,1,119,119
O0000109,P007,1,129,129
O0000110,P017,1,149,149
O0000110,P015,1,79,79
O0000110,P002,3,159,477
O0000111,P011,1,89,89
O0000112,P008,1,99,99
O0000113,P015,1,79,79
O0000113,P005,1,119,119
O0000114,P020,1,179,179
O0000115,P008,1,99,99
O0000116,P001,1,89,89
O0000116,P007,1,129,129
O0000117,P008,1,99,99
O0000117,P010,1,99,99
O0000117,P001,1,89,89
O0000117,P005,1,119,119
O0000118,P006,1,349,349
O0000119,P008,3,99,297
O0000119,P006,1,349,349
O0000120,P018,1,159,159
O0000120,P013,3,139,417
O0000121,P016,2,89,178
O0000122,P015,2,79,158
O0000122,P004,2,99,198
O0000123,P010,1,99,99
O0000124,P008,2,99,198
O0000124,P008,1,99,99
O0000125,P008,2,99,198
O0000125,P004,1,99,99
O0000126,P012,3,109,327
O0000126,P006,1,349,349
O0000127,P009,2,79,158
O0000127,P022,1,149,149
O0000127,P011,1,89,89
O0000128,P008,2,99,198
O0000128,P016,1,89,89
O0000128,P012,2,109,218
O0000129,P015,1,79,79
O0000129,P009,1,79,79
O0000130,P021,1,149,149
O0000131,P008,3,99,297
O0000132,P023,2,159,318
O0000133,P009,1,79,79
O0000133,P011,1,89,89
O0000134,P006,1,349,349
O0000134,P018,1,159,159
O0000135,P019,1,169,169
