order_id,customer_id,order_date,total_amount,discount_applied,discount_percentage
O0000001,C00001,2022-07-02,348.25,No,0
O0000002,C00001,2022-07-03,418.34,Yes,10
O0000003,C00001,2022-08-01,1001.98,No,0
O0000004,C00001,2022-08-28,433.35,Yes,10
O0000005,C00001,2022-10-05,469.98,No,0
O0000006,C00001,2022-10-18,646.24,Yes,15
O0000007,C00001,2022-10-21,241.68,No,0
O0000008,C00001,2022-11-06,412.09,No,0
O0000009,C00001,2022-11-30,79.8,No,0
O0000010,C00001,2022-12-13,450.89,No,0
O0000011,C00001,2023-01-13,259.88,No,0
O0000012,C00001,2023-01-22,641.53,No,0
O0000013,C00001,2023-03-22,94.69,No,0
O0000014,C00001,2023-07-19,85.5,Yes,10
O0000015,C00001,2023-07-23,980.66,No,0
O0000016,C00001,2023-08-16,1071.51,No,0
O0000017,C00001,2023-08-24,380.25,No,0
O0000018,C00001,2023-10-31,392.04,Yes,5
O0000019,C00001,2023-12-06,349.64,No,0
O0000020,C00001,2024-01-02,570.54,No,0
O0000021,C00001,2024-06-03,79.17,Yes,15
O0000022,C00001,2024-06-27,336.11,No,0
O0000023,C00002,2023-07-18,114.52,Yes,20
O0000024,C00002,2023-08-04,175.16,Yes,10
O0000025,C00002,2023-09-03,534.0,Yes,10
O0000026,C00002,2023-09-13,1332.43,Yes,5
O0000027,C00002,2023-11-19,448.6,Yes,5
O0000028,C00002,2023-12-10,489.6,Yes,5
O0000029,C00002,2024-01-15,527.64,Yes,5
O0000030,C00002,2024-03-17,262.8,Yes,5
O0000031,C00002,2024-05-14,195.49,Yes,10
O0000032,C00003,2022-06-26,866.17,No,0
O0000033,C00004,2022-01-15,259.94,Yes,20
O0000034,C00004,2022-03-15,130.15,No,0
O0000035,C00004,2022-05-09,359.2,Yes,5
O0000036,C00004,2022-05-17,539.12,No,0
O0000037,C00004,2022-06-15,416.41,No,0
O0000038,C00004,2022-08-15,1053.14,No,0
O0000039,C00004,2022-08-27,1134.21,No,0
O0000040,C00004,2022-09-16,622.45,No,0
O0000041,C00004,2022-12-18,56.81,Yes,25
O0000042,C00004,2023-01-11,300.78,No,0
O0000043,C00004,2023-02-14,607.64,Yes,10
O0000044,C00004,2023-02-15,78.21,No,0
O0000045,C00004,2023-05-13,1001.13,No,0
O0000046,C00004,2023-05-26,262.28,Yes,25
O0000047,C00004,2023-06-11,93.53,No,0
O0000048,C00004,2023-06-18,423.18,Yes,5
O0000049,C00004,2023-07-18,479.77,No,0
O0000050,C00004,2023-07-23,722.7,No,0
O0000051,C00004,2023-08-14,318.58,No,0
O0000052,C00004,2023-08-17,714.13,No,0
O0000053,C00004,2023-08-24,302.19,No,0
O0000054,C00004,2023-11-15,653.94,No,0
O0000055,C00004,2023-12-29,112.24,No,0
O0000056,C00004,2024-01-14,252.88,No,0
O0000057,C00004,2024-06-10,297.99,No,0
O0000058,C00005,2023-10-10,695.09,No,0
O0000059,C00006,2023-09-10,85.77,No,0
O0000060,C00006,2023-10-13,332.53,No,0
O0000061,C00006,2023-10-24,161.02,No,0
O0000062,C00006,2023-12-21,83.86,No,0
O0000063,C00006,2024-01-12,199.01,No,0
O0000064,C00006,2024-01-24,441.14,No,0
O0000065,C00006,2024-02-14,90.72,No,0
O0000066,C00006,2024-05-13,254.57,No,0
O0000067,C00006,2024-05-31,252.08,Yes,10
