customer_id,city,channel,tenure_days,recency_days,frequency,monetary,avg_order_value,lifespan_days,days_since_signup,discount_usage_rate,avg_discount_pct,max_order_value,min_order_value,orders_per_month,mayo_spend_share,sauces_spend_share,dips_spend_share,distinct_products_bought,recent_spend_ratio,is_churned,r_score,f_score,m_score,rfm_total,rfm_avg,cluster_id,segment_label,segment_color,churn_prob,churn_risk_tier,active_days,daily_purchase_rate,retention_factor,discount_ltv_haircut,ltv_heuristic,ltv_predicted,ltv_tier
C00001,Delhi,instagram,729,3,22,9744.12,442.91,726,729,27.27,10.83,1071.51,79.17,0.909,0.0,0.0,0.0,18,0.043,0,5,5,5,15,5.0,0,Loyal Customers,#3498DB,0.022675883318831264,Low Risk,726,0.030303030303030304,0.9771599684342459,0.931825,4460.61,4509.73,Gold
C00002,Ahmedabad,instagram,364,47,9,4080.24,453.36,301,348,100.0,8.33,1332.43,114.52,0.897,0.0,0.0,0.0,13,0.048,0,3,3,4,10,3.3333333333333335,0,Loyal Customers,#3498DB,0.04031660703371351,Low Risk,301,0.029900332225913623,0.6962984793343721,0.75,2583.86,2581.53,Silver
C00003,Indore,website,875,735,1,866.17,866.17,0,735,0.0,0.0,866.17,866.17,1.0,0.0,0.0,0.0,4,0.0,1,1,1,2,4,1.3333333333333333,3,Discount Dependent,#E67E22,0.9991510882068506,High Risk,1,1.0,0.0034800731177357,1.0,1100.23,1411.75,Silver
C00004,Hyderabad,website,898,20,25,11192.6,447.7,877,897,24.0,15.0,1134.21,56.81,0.855,0.0,0.0,0.0,23,0.027,0,4,5,5,14,4.666666666666667,1,Champions,#2ECC71,0.014120802654150465,Low Risk,877,0.028506271379703536,0.8572439828530728,0.94,3753.64,3800.07,Gold
C00005,Mumbai,website,277,264,1,695.09,695.09,0,264,0.0,0.0,695.09,695.09,1.0,1.0,0.0,0.0,1,0.0,1,2,1,2,5,1.6666666666666667,3,Discount Dependent,#E67E22,0.9987412028664974,High Risk,1,1.0,0.13091176535257834,1.0,33213.34,33934.12,Platinum
C00006,Mumbai,instagram,317,26,10,2739.34,273.93,268,294,20.0,15.0,838.64,83.86,1.119,0.0,0.0,0.0,12,0.491,0,4,3,3,10,3.3333333333333335,4,Promising,#F39C12,0.004363426596125211,Low Risk,268,0.03731343283582089,0.8185322195299817,0.95,2901.06,3279.48,Silver
C00007,Mumbai,website,753,617,1,329.72,329.72,0,617,0.0,0.0,329.72,329.72,1.0,1.0,0.0,0.0,2,0.0,1,1,1,1,3,1.0,3,Discount Dependent,#E67E22,0.9992586464052929,High Risk,1,1.0,0.008635194832650312,1.0,1039.23,1501.46,Silver
C00008,Kolkata,distributor,418,411,1,359.43,359.43,0,411,0.0,0.0,359.43,359.43,1.0,0.0,0.0,0.0,2,0.0,1,1,1,1,3,1.0,3,Discount Dependent,#E67E22,0.9999610161605025,High Risk,1,1.0,0.042198435817755946,1.0,5536.1,6502.25,Gold
C00009,Hyderabad,referral,583,11,27,10836.88,401.37,534,545,29.63,10.0,1433.46,101.84,1.517,0.0,0.0,0.0,19,0.288,0,5,5,5,15,5.0,1,Champions,#2ECC71,0.0020623479255911367,Low Risk,534,0.05056179775280899,0.9187713517408406,0.925925,6301.49,6434.24,Gold
C00010,Chennai,distributor,298,30,6,2079.04,346.51,268,298,33.33,10.0,825.04,147.35,0.672,0.0,0.0,0.0,9,0.706,0,4,3,3,10,3.3333333333333335,4,Promising,#F39C12,0.008132356014722755,Low Risk,268,0.022388059701492536,0.7937005259840998,0.916675,2060.14,2375.23,Silver
